Symbol,Exchange,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
598,HKEX,0,0.35460993,0,0,0.71174377,0,-4.06779661,-0.70175439,31.01851852,73.6196319,0.35460993,4.81481481,1.328022,3.95683453
631,HKEX,-0.57803468,-0.57803468,-0.28985507,0.14556041,6.17283951,-0.57803468,1.62481536,24.41229656,59.25925926,72.43107769,18.62068966,54.26008969,1.0792298,9.10518053
1913,HKEX,-0.10449321,0.10471204,0.20964361,0.42016807,1.70212766,-0.10449321,-3.62902837,1.3785747,42.47392377,72.25225225,-6.64062682,54.19354839,0.90663517,2.21052632
6836,HKEX,0,0,0,0,-0.64935065,0,-0.64935065,2,53,71.91011236,1.32450331,59.375,0.6021209,1.97368421
699,HKEX,0,0,0,0,0,0,10,5.6,70.68965517,71.42857143,5.88235294,-24.28298279,1.2022556,0.25316456
1208,HKEX,0,0,-0.5899705,0.59701493,-3.71428571,0,0.29761905,-1.4619883,76.43979058,71.06598985,0,71.06598985,1.8403208,8.64197531
2313,HKEX,0,-0.06430868,0.25806452,0.12886598,-0.51216389,0,-0.7028754,5.3559322,10.68376857,70.67544742,2.23684211,35.48387097,1.2788416,3.43709468
2359,HKEX,0.05249344,-0.05243838,0.10504202,-0.31380753,-4.50901804,0.05249344,4.09611665,28.8708674,56.74342105,70.48300537,25.5599473,153.6504438,1.1809342,6.39659382
3998,HKEX,0,0.27548209,0.55248619,0.27548209,-1.88679245,0,-5.45454545,-2.41286863,2.82485876,70.09345794,-7.84810127,23.80952381,1.3870076,6.76056338
1478,HKEX,0.23446659,0.23446659,0.23446659,-0.46565774,1.18343195,0.23446659,-4.36241076,39.93453355,95.42857143,69.64285714,30.1369863,25.55066079,1.8043429,5.3593179
1846,HKEX,0.35211268,0.8254717,0.8254717,0.8254717,-1.27020785,0.35211268,-2.28571429,12.79683377,71.68674699,69.64285714,-2.17391304,-5,1.6178735,3.65566038
1856,HKEX,0,0,0,0,-3.21543408,0,-5.64263323,3.79310345,77.05882353,69.1011236,0.33333333,111.971831,0.2755582,2.99003322
1337,HKEX,0,-0.38022814,-0.38022814,0,-2.96296296,0,0.76923077,17.48878924,8.26446281,69.03225806,10.08403361,92.64705882,1.4369617,9.88142292
2100,HKEX,-0.48780488,0.49261084,0,0.99009901,-8.10810811,-0.48780488,52.23880597,121.7391304,134.4827586,68.59504132,119.3548387,175.6756757,1.065785,24.7311828
1708,HKEX,0.53333333,0.53333333,1.89189189,1.89189189,2.16802168,0.53333333,12.8742515,77.83018868,64.62882096,67.55555556,65.35087719,-36.63865546,2.4505632,5.6022409
658,HKEX,-0.13227513,0,-0.39577836,0.39893617,-4.0660737,-0.13227513,-12.41299304,3.85144429,28.40136054,67.03539823,-0.65789474,32.68892794,1.0257304,10.65006916
3968,HKEX,0,0,0,-0.24590164,2.01173512,0,-0.40916204,25.46391753,46.09843236,66.94101051,24.18367347,50.43262916,1.1663878,3.88513514
1372,HKEX,7.01754386,7.01754386,7.01754386,7.01754386,2.23463687,7.01754386,42.96875,75.96153846,-0.54347826,66.36363636,72.64150943,-20.77922078,0.79656357,8.77192982
3898,HKEX,-0.11737089,-0.35128806,-0.11737089,1.43027414,-0.46783626,-0.11737089,-11.07627633,29.13504919,72.96747967,66.2109375,25.88757769,48,1.509187,7.05596107
1888,HKEX,-0.14727541,-0.14727541,-0.14727541,-0.14727541,-1.31004367,-0.14727541,1.04321908,13.37792642,9.35483871,65.56776557,7.10900474,42.28751312,1.2921689,5.63165906
1877,HKEX,0,0,0.25364616,0.38095238,-12.16666667,0,4.01315789,47.48134879,67.3015873,64.6875,39.17253766,208.1871345,0.4069003,25
1866,HKEX,1.5576324,1.5576324,1.5576324,1.5576324,-1.80722892,1.5576324,5.16129032,27.34375,35.83333333,64.64646465,30.4,29.88047809,0.8857355,3.42679128
6858,HKEX,0,0.58823529,0.58823529,0.58823529,-1.72413793,0,-4.82374768,6.875,46.99140401,64.42307692,0.98425197,-9.04255319,0.39633918,5.6
1995,HKEX,0.21881838,0.43859649,0,0,-0.21786492,0.21881838,-5.56701031,35.18299084,72.96072508,64.27546628,34.54759107,231.884058,1.2632194,8.56481481
1910,HKEX,-0.17123288,-0.17123288,0.17182131,0.8650519,1.7452007,-0.17123288,-5.04885993,-12.19879518,40.48192771,64.22535211,-15.13828239,-34.34684685,2.6200674,4.47227191
9911,HKEX,0,0.34013605,0.34013605,0.68259386,-8.95061728,0,23.94957983,66.66666667,55.26315789,63.88888889,66.66666667,27.15517241,2.0030377,21.58273381
425,HKEX,0.41039672,-0.13605442,-0.27173913,0.27322404,-4.92227979,0.41039672,-11.459592,-6.85279661,12.40428102,63.83928571,-10.26895304,40.61302682,1.0801653,11.11111111
732,HKEX,0,0,2.12765957,4.34782609,21.00840336,0,41.17647059,56.52173913,60,63.63636364,50,16.12903226,1.6302305,21.66666667
251,HKEX,0.93896714,0.93896714,0.93896714,1.05757932,0.82063306,0.93896714,0.35005834,20.6171108,4.87804878,62.57088847,15.74697174,24.63768116,0.6617111,2.62529833
3718,HKEX,0,-0.46082949,0,0,-3.13901345,0,-3.57142857,4.85436893,27.81065089,62.40601504,-2.7027027,222.3880597,1.7991683,6.69856459
1378,HKEX,0,-0.41493776,-0.13869626,-0.41493776,0,0,1.98300283,2.85714286,26.98412698,62.16216216,1.4084507,59.2920354,1.3260628,4.00572246
190,HKEX,0,0,-0.1312336,0,-0.39267016,0,0.66137566,111.3888889,92.17171717,61.91489362,112.5698324,9.65417867,1.7074664,0.26315789
489,HKEX,0,0.24242424,0.12106538,-0.12077295,-1.89798339,0,-10.9795479,-9.22063666,51.46520147,61.83953033,-8.51769912,24.17417417,1.7249649,6.10211706
1882,HKEX,-0.17482517,-0.34904014,-0.86805556,-0.17482517,-2.05831904,-0.17482517,-3.22033898,12.18074215,55.67066521,61.11739058,6.52985472,50.26315789,0.81967306,5.61594203
1802,HKEX,0.65789474,0.65789474,0.65789474,0.65789474,-1.29032258,0.65789474,-2.5477707,-12.06896552,51.48514851,61.05263158,-7.8313253,45.71428571,0.40705448,6.57894737
150,HKEX,0,0,0,0.90909091,15.625,0,50,40.50632911,48,60.86956522,42.30769231,3.73831776,1.5908961,19.19191919
1458,HKEX,-0.21978022,-0.21978022,-0.21978022,-0.43859649,-1.08932462,-0.21978022,-5.7113188,18.22916667,6.94935218,60.7079646,10.19417476,94.84978541,1.2607409,6.90826727
1070,HKEX,0.13986014,0,0.13986014,0.70323488,-0.27855153,0.13986014,3.17002882,31.37614679,34.33395872,60.53811659,23.23580034,84.53608247,1.6886386,8.52941176
3939,HKEX,0.4,0.4,0.80321285,0.80321285,0.4,0.4,11.55555556,14.09090909,59.87261146,59.87261146,14.09090909,60.8974359,-0.10110509,2.00803213
856,HKEX,0.42857143,0.42857143,-0.42492918,1.29682997,1.88405797,0.42857143,-3.69863014,12.12121212,38.65877712,59.77272727,10.53459119,68.58513189,0.79869354,7.09969789
1987,HKEX,1.0989011,-1.42857143,-1.42857143,-1.77935943,-1.07526882,1.0989011,-2.81690141,-3.15789474,-8.60927152,59.53757225,-8,430.7692308,0.4642981,4.81481481
3378,HKEX,0,0,1.72413793,-0.84033613,2.60869565,0,-0.84033613,-2.47933884,81.53846154,59.45945946,3.50877193,13.46153846,1.2123762,8.18181818
2601,HKEX,0,0.13986014,0.42075736,0.13986014,3.31890332,0,-3.24324324,19.73244147,40.94488189,57.01755075,17.95716639,21.76870748,1.6740944,3.58165616
1925,HKEX,0,0,0,-1.45985401,-0.73529412,0,0,8.87096774,23.85321101,56.97674419,6.2992126,,0.1643478,2.23880597
1951,HKEX,0.12091898,0,0.24213075,0.24213075,-3.72093023,0.12091898,5.20965693,6.83870968,71.07438017,56.81818182,4.81012658,38.46153846,1.1023737,8.17843866
